"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;tasa;tasa
649720/0000-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;44.61;;38;1626;" ";NULL;"SANTO TOME          ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;63.28
649721/0000-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;NULL;NULL;" ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649722/0000-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;68.72;;NULL;NULL;" ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;97.47
649723/0001-7;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;9.48;;158;257;" ";NULL;MATILDE;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;158.00
649724/0043-2;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;45.51;;202;367;" ";NULL;"GALVEZ ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;64.55
649726/0002-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;141.08;;77;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;200.11
649731/0000-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;66.89;;NULL;NULL;" ";NULL;GESSLER;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;94.88
649733/0001-4;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649733/0002-3;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649734/0002-2;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;43;1710;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649736/0000-2;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;18.75;;77;NULL;"  ";NULL;MATILDE;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;26.60
649737/0001-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;43;1710;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649737/0002-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;43;1710;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649738/0000-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;203;NULL;" ";NULL;GESSLER;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649740/0002-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;NULL;NULL;" ";NULL;"DESVIO ARIJON       ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649743/0001-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;25;515;"  ";NULL;MATILDE;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649744/0000-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;43;NULL;" ";NULL;"LARRECHEA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649750/0000-2;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;46.10;;76;2326;" ";NULL;"ESPERANZA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;65.40
649751/0001-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;38.19;;31;301;"  ";NULL;"SAN GENARO NORTE    ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;54.18
649751/0004-7;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;86;1883;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;36.79
649754/0000-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;17.82;;NULL;NULL;" ";NULL;MATILDE;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;25.28
649755/0000-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;17.82;;76;2326;" ";NULL;"ESPERANZA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;25.28
649757/0000-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;17.82;;77;NULL;" ";NULL;"AROCENA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;25.28
649762/0000-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.58;;22;1800;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.69
649763/0000-6;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;75;1152;" ";NULL;GESSLER;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.69
649764/0000-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.58;;22;1800;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.69
649765/0000-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.58;;22;1800;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.69
649766/0000-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.58;;22;1800;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.69
649767/0000-2;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649768/0000-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;22;1800;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649769/0000-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;18.21;;22;1800;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;25.84
649770/0000-6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;18.21;;22;1800;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;25.84
649771/0000-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;94.11;;75;1851;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;133.49
649773/0014-6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;119.41;;72;1345;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;169.38
649773/0020-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;102.55;;204;360;" ";NULL;"ROSARIO             ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;145.46
649813/0002-2;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;66;1119;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649815/0009-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;133;1800;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649815/0010-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649815/0011-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;2;1416;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649815/0012-7;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;1.20;;77;NULL;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649815/0013-6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;37;NULL;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649815/0014-5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;66;1119;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649815/0015-4;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;NULL;NULL;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649815/0016-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;NULL;NULL;" ";NULL;"PABLO PODESTA       ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649822/0004-8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;32.39;;4;1114;" ";NULL;"SANTA FE";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;45.94
649822/0005-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;46.53;;47;567;" ";NULL;"SANTA FE";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;66.00
649824/0000-0;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;43;1710;" ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;160.00
649826/0046-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;14.10;;NULL;NULL;"  ";NULL;CORONDA;;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;20.00
649839/0001-1;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;149.88;;47;569;"  ";NULL;"RECONQUISTA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;212.59
649839/0009-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;118.07;;47;569;" ";NULL;"RECONQUISTA ";;;;;NULL;" ";convenio;NULL;NULL;NULL;;;;tasa;167.47
