"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;tasa;tasa
4;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;47.29;;;257;;;;;;;;;;convenio;;;;;;;tasa;158.00
5;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;182.32;;;367;;;;;;;;;;convenio;;;;;;;tasa;64.55
6;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;565.22;;;;;;;;;;;;;convenio;;;;;;;tasa;200.11
8;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;267.99;;;730;;;;;;;;;;convenio;;;;;;;tasa;94.88
9;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
10;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
11;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"44 - JUAN DE GARAY";1710;;;;;;;;;;convenio;;;;;;;tasa;20.00
12;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;75.13;;;;;;;;;;;;;convenio;;;;;;;tasa;26.60
13;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"44 - JUAN DE GARAY";1710;;;;;;;;;;convenio;;;;;;;tasa;20.00
14;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"44 - JUAN DE GARAY";1710;;;;;;;;;;convenio;;;;;;;tasa;20.00
15;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"31 - FALUCHO";;;;;;;;;;;convenio;;;;;;;tasa;20.00
16;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
17;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;35.17;;;515;;;;;;;;;;convenio;;;;;;;tasa;20.00
18;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"44 - JUAN DE GARAY";;;;;;;;;;;convenio;;;;;;;tasa;20.00
19;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;107.65;;"24 - SARMIENTO";2326;;;;;;;;;;convenio;;;;;;;tasa;65.40
20;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;153.02;;;301;;;;;;;;;;convenio;;;;;;;tasa;54.18
21;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;585;;;;;;;;;;convenio;;;;;;;tasa;36.79
22;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;65;;;;;;;;;;convenio;;;;;;;tasa;25.28
23;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;71.40;;;2261;;;;;;;;;;convenio;;;;;;;tasa;25.28
24;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;71.40;;;367;;;;;;;;;;convenio;;;;;;;tasa;25.28
25;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;58.43;;"58 - BELGRANO";1800;;;;;;;;;;convenio;;;;;;;tasa;20.69
26;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;"1 - SAN MARTIN ";1152;;;;;;;;;;convenio;;;;;;;tasa;20.69
27;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;58.43;;"58 - BELGRANO";1800;;;;;;;;;;convenio;;;;;;;tasa;20.69
28;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;58.43;;"58 - BELGRANO";1800;;;;;;;;;;convenio;;;;;;;tasa;20.69
29;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;58.43;;"58 - BELGRANO";1800;;;;;;;;;;convenio;;;;;;;tasa;20.69
30;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
31;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"58 - BELGRANO";1800;;;;;;;;;;convenio;;;;;;;tasa;20.00
32;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;72.97;;"58 - BELGRANO";1800;;;;;;;;;;convenio;;;;;;;tasa;25.84
33;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;72.97;;"58 - BELGRANO";1800;;;;;;;;;;convenio;;;;;;;tasa;25.84
34;02;1;C;201007;2010-08-31;2010-09-10;2010-09-10;377.04;;"1 - SAN MARTIN ";1851;;;;;;;;2988;;convenio;2013-05-15;;;;;;tasa;133.49
36;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;410.85;;;360;;;;;;;;;;convenio;;;;;;;tasa;145.46
37;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"26 - RIVADAVIA ";1119;;;;;;;;;;convenio;;;;;;;tasa;20.00
39;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
41;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
42;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"51 - FRENCH Y BERUTTI";;;;;;;;;;;convenio;;;;;;;tasa;20.00
43;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;"26 - RIVADAVIA ";1119;;;;;;;;;;convenio;;;;;;;tasa;20.00
44;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
45;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;56.49;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
47;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;129.75;;;1863;;;;;;;;;;convenio;;;;;;;tasa;45.94
48;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;186.42;;;567;;;;;;;;;;convenio;;;;;;;tasa;66.00
