"partida municipal";jubilado
9100;0
12060;0
17620;0
562833;0
52880;0
563337;0
35831;0
56851;0
56852;0
100286;0
563051;0
563052;0
563243;0
563245;0
563246;0
563247;0
563248;0
563249;0
563250;0
563251;0
563252;0
563253;0
563254;0
563255;0
563256;0
563257;0
563258;0
563259;0
563260;0
563261;0
563262;0
563263;0
563264;0
563265;0
563266;0
563267;0
563268;0
563269;0
563270;0
563271;0
563272;0
563273;0
563274;0
563275;0
563276;0
563277;0
563278;0
563279;0
563280;0
563281;0
563282;0
563283;0
563284;0
563285;0
563286;0
563287;0
563288;0
563289;0
563290;0
563292;0
563293;0
563294;0
563295;0
563296;0
563297;0
563298;0
563299;0
563300;0
563301;0
563302;0
563303;0
563304;0
563305;0
563306;0
563307;0
563308;0
563309;0
563310;0
563311;0
33980;0
100038;0
100039;0
562042;0
562047;0
562048;0
562064;0
562107;0
562128;0
562132;0
562145;0
562235;0
562252;0
562267;0
562280;0
562312;0
562319;0
562322;0
562450;0
562452;0
562524;0
562534;0
562546;0
562549;0
562591;0
562600;0
562827;0
2950;0
562056;0
562513;0
26110;0
562558;0
562559;0
562560;0
562939;0
563047;0
563056;0
10252;0
562143;0
562282;0
562244;0
100372;0
562029;0
562058;0
562205;0
562621;0
562622;0
562623;0
562624;0
562625;0
562626;0
562627;0
562628;0
562629;0
562630;0
562631;0
562632;0
562633;0
562634;0
562635;0
562636;0
562637;0
562638;0
562639;0
562640;0
562641;0
562642;0
562643;0
562644;0
562645;0
562646;0
562647;0
562648;0
562649;0
562650;0
562651;0
562652;0
562653;0
562654;0
562655;0
562656;0
562657;0
562658;0
562659;0
562660;0
562661;0
562662;0
562663;0
562664;0
562665;0
562666;0
562667;0
562668;0
562669;0
562670;0
562671;0
562672;0
562673;0
562674;0
562675;0
562676;0
562677;0
562678;0
562679;0
562680;0
562681;0
562682;0
562683;0
562684;0
562685;0
562686;0
562687;0
562688;0
562689;0
562690;0
562691;0
562692;0
562693;0
562694;0
562695;0
562696;0
562697;0
562698;0
562699;0
562700;0
562701;0
562702;0
562703;0
562704;0
562705;0
562706;0
562707;0
562708;0
562709;0
562710;0
23220;0
5710;0
3530;0
562514;0
60430;0
1930;0
1770;1
1040;1
24990;0
230;0
24991;0
24970;0
8990;0
57920;0
25520;0
22320;1
6820;0
90230;0
57910;0
57911;1
562619;1
621;0
24631;1
100272;0
18830;0
15820;0
100088;0
52430;0
29740;1
57912;1
24630;1
10650;0
80090;0
31770;0
563242;0
100183;0
4416;1
24280;0
58811;0
9970;0
2240;0
26120;0
1570;0
27132;0
17860;0
30340;0
56927;0
14550;1
57850;1
14721;0
28460;1
53151;0
13370;0
1630;1
14190;0
21130;1
32460;1
57841;0
57830;0
40570;0
20580;0
14740;0
14730;1
14710;1
14720;1
22280;0
15060;0
8190;0
9020;0
35250;0
35270;0
35370;0
60070;0
23150;1
562131;1
52540;1
58812;1
28630;1
34550;1
51006;1
16760;0
57820;0
602;0
54624;0
100337;0
35110;0
11810;1
53830;1
33490;1
53138;0
54991;0
33320;0
562251;0
29650;0
52830;0
55270;0
100417;0
100418;0
80330;0
2740;1
2560;1
26610;1
27000;0
16745;0
16747;0
32610;0
32370;1
9201;0
26600;0
15210;0
5350;0
21280;0
58835;0
33700;0
55267;0
100096;0
1150;0
52740;0
81140;1
26140;1
40080;0
57771;0
33480;1
3610;0
15280;0
15380;1
23110;1
57770;1
29120;0
29140;0
40821;0
90130;0
100142;0
70240;0
100166;0
1710;0
57760;0
33663;1
51868;1
51869;1
51871;1
51872;1
51873;1
100048;1
18060;1
7780;1
12190;1
563049;1
2360;0
29110;0
562985;0
562988;0
57640;0
4401;0
20310;1
562990;0
53533;0
24790;0
21580;0
60350;1
11300;1
80860;0
28750;0
3660;1
562010;1
562155;1
4101;0
5680;0
60240;0
28730;1
14690;0
14691;0
90660;0
9480;0
52390;0
57509;0
100364;0
7310;0
7311;0
22480;1
22470;0
57301;0
26770;1
21210;0
57710;0
20290;1
562601;1
26550;1
5320;1
52824;1
40870;1
57722;1
52386;0
40810;0
26860;1
100231;0
17000;0
22610;0
3590;0
22310;0
30440;0
30270;0
34860;0
30160;0
35170;0
562823;0
562824;0
32890;0
1940;0
562028;0
22440;1
9170;0
33430;0
52320;0
52330;0
52310;0
35070;0
23890;0
58910;0
563050;0
100018;0
100019;0
100020;0
100021;0
100023;0
31391;0
31392;0
52362;1
34120;0
100287;0
50941;0
34310;0
57690;1
52381;0
80040;0
80060;0
80410;0
80430;0
80470;0
80490;0
80520;0
80530;0
80710;0
80720;0
80790;0
80360;0
80440;0
80080;0
80100;0
80540;0
80550;0
80140;0
100482;0
100483;0
100484;0
13170;0
13180;0
562564;0
56463;0
56464;0
1720;1
15710;1
3870;1
52300;0
10920;1
4460;0
11120;1
16940;1
57680;0
2980;0
1990;0
1730;0
33150;1
34880;1
33510;1
100271;0
57670;0
100283;0
100284;0
100290;0
57764;0
26000;0
26010;0
26250;0
26280;0
26340;0
26392;0
26431;0
562081;0
563474;0
563475;0
26130;0
26381;0
563473;0
26390;0
26391;0
26393;0
26360;1
26432;0
26170;1
26310;0
100178;0
100180;0
4580;0
23650;0
51310;0
21920;1
33672;0
57761;0
57762;0
29530;1
25300;0
5340;0
3410;0
18540;0
18530;1
60340;0
17320;1
5341;0
100396;0
100397;0
32330;0
53727;1
20840;0
29950;0
9160;0
100292;0
23630;1
57302;0
12940;1
22600;0
22380;1
22620;0
50020;0
11080;1
562530;1
27790;0
56100;0
6001;0
8100;0
35814;1
2120;0
2130;0
3670;0
70490;0
60130;0
25740;0
18740;1
54371;0
13720;0
10860;1
10880;1
12240;0
33110;0
8820;0
9000;0
100082;0
31270;0
31274;0
31271;0
21170;0
12340;1
8300;0
15140;0
562115;0
58907;0
