"Numero partida municipal";tributo;"numero de recibo";estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NROANUL;TIPOANUL;FECHANUL;tasa;tasa
5;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
10;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;2.50;;;575;;;;;;;;;;;;;;;;;tasa;20.00
13;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;4.60;;;;;;;;;;;;;;;;;;;;tasa;20.00
16;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
21;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
22;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
25;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
27;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
30;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;5.80;;;;;;;;;;;;;;;;;;;;tasa;20.00
31;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;"44 - JUAN DE GARAY";1585;;;;;;;;;;;;;;;;;tasa;20.00
33;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
41;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;"88 - AV.LIS. DE LA TORRE";2385;;;;;;;;;;;;;;;;;tasa;20.00
44;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;2360;;;;;;;;;;;;;;;;;tasa;20.00
47;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;2.20;;"27 DE FEBRERO";5672;;;;;;;;;;;;;;;;;tasa;20.00
48;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;1666;;;;;;;;;;;;;;;;;tasa;20.00
49;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;2.20;;"27 DE FEBRERO";5672;;;;;;;;;;;;;;;;;tasa;20.00
52;03;1;T;201206;2012-05-31;2012-06-10;2012-07-10;0.00;;;;;;;;;;;;;;;;;;;;tasa;20.00
