"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;tasa;tasa
1474;05;1;T;201105;2011-04-30;2011-05-10;2011-06-09;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201106;2011-05-31;2011-06-10;2011-07-10;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201107;2011-06-30;2011-07-10;2011-08-09;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201108;2011-07-31;2011-08-10;2011-09-09;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201109;2011-08-31;2011-09-10;2011-10-10;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201110;2011-09-30;2011-10-10;2011-11-09;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201111;2011-10-31;2011-11-10;2011-12-10;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201112;2011-11-30;2011-12-10;2012-01-09;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201201;2011-12-31;2012-01-10;2012-02-09;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201202;2012-01-31;2012-02-10;2012-03-11;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201203;2012-02-29;2012-03-10;2012-04-09;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201204;2012-03-31;2012-04-10;2012-05-10;27.82;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201205;2012-04-30;2012-05-10;2012-06-09;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;A;201206;2012-05-31;2012-06-10;2012-07-10;54.99;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;A;201207;2012-06-30;2012-07-10;2012-08-09;53.05;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;A;201208;2012-07-31;2012-08-10;2012-09-09;51.11;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;A;201209;2012-08-31;2012-09-10;2012-10-10;49.16;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;A;201210;2012-09-30;2012-10-10;2012-11-09;47.22;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;A;201211;2012-10-31;2012-11-10;2012-12-10;45.28;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201212;2012-11-30;2012-12-10;2013-01-09;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201301;2012-12-31;2013-01-10;2013-02-09;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201302;2013-01-31;2013-02-10;2013-03-12;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201303;2013-02-28;2013-03-10;2013-04-09;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
1474;05;1;T;201304;2013-03-31;2013-04-10;2013-05-10;0.00;;;;;;;20;tgi;;2011-05-17;;;;;;;;;;tasa;129.38
3144;05;1;T;201308;2013-07-31;2013-08-10;2013-09-09;0.00;;;;;;;20;tgi;;2013-08-01;;;;;;;;;;tasa;914.24
3145;05;1;T;201308;2013-07-31;2013-08-10;2013-09-09;0.00;;;;;;;20;tgi;;2013-08-01;;;;;;;;;;tasa;1205.32
3146;05;1;T;201308;2013-07-31;2013-08-10;2013-09-09;0.00;;;;;;;20;tgi;;2013-08-01;;;;;;;;;;tasa;465.92
2988;05;1;A;201305;2013-04-30;2013-05-10;2013-06-09;897.00;;;;;;;34;rural;;2013-05-15;;;;;;;;;;tasa;3450
2988;05;1;A;201306;2013-05-31;2013-06-10;2013-07-10;158.53;;;;;;;34;rural;;2013-05-15;;;;;;;;;;tasa;647.05
