"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;tasa;tasa;activi1;impord1
8;&2;1;B;201105;2011-06-07;2011-06-17;2011-06-17;36.30;;;;;;;;;;;;;;;;;;;;tasa;60.00;523550;0.00
8;&2;1;T;201106;2011-07-08;2011-07-18;2011-07-18;0.00;;;;;;;;;;;;;;;;;;;;tasa;60.00;523550;60.00
8;&2;1;T;201107;2011-08-07;2011-08-17;2011-08-17;0.00;;;;;;;;;;;;;;;;;;;;tasa;60.00;523550;60.00
8;&2;1;T;201108;2011-09-09;2011-09-19;2011-09-19;0.00;;;;;;;;;;;;;;;;;;;;tasa;60.00;523550;60.00
8;&2;1;T;201109;2011-10-07;2011-10-17;2011-10-17;0.00;;;;;;;;;;;;;;;;;;;;tasa;60.00;523550;60.00
8;&2;1;T;201110;2011-11-07;2011-11-17;2011-11-17;0.00;;;;;;;;;;;;;;;;;;;;tasa;60.00;523550;60.00
8;&2;1;T;201111;2011-12-06;2011-12-16;2011-12-16;0.00;;;;;;;;;;;;;;;;;;;;tasa;60.00;523550;60.00
8;&2;1;B;201112;2012-01-07;2012-01-17;2012-01-17;30.00;;;;;;;;;;;;;;;;;;;;tasa;60.00;523550;0.00
8;&2;1;T;201201;2012-02-06;2012-02-16;2012-02-16;0.00;;;;;;;;;;;;;;;;;;;;tasa;60.00;523550;60.00
8;&2;1;T;201202;2012-03-06;2012-03-16;2012-03-16;0.00;;;;;;;;;;;;;;;;;;;;tasa;60.00;523550;60.00
8;&2;1;T;201203;2012-04-06;2012-04-16;2012-04-16;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201205;2012-06-05;2012-06-15;2012-06-15;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201204;2012-05-07;2012-05-17;2012-05-17;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201206;2012-07-06;2012-07-16;2012-07-16;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201207;2012-08-06;2012-08-16;2012-08-16;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201208;2012-09-07;2012-09-17;2012-09-17;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201209;2012-10-05;2012-10-15;2012-10-15;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201210;2012-11-09;2012-11-19;2012-11-19;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201211;2012-12-07;2012-12-17;2012-12-17;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201211;2012-12-07;2012-12-17;2012-12-17;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201211;2012-12-07;2012-12-17;2012-12-17;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201211;2012-12-07;2012-12-17;2012-12-17;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201212;2013-01-07;2013-01-17;2013-01-17;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201301;2013-02-08;2013-02-18;2013-02-18;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201301;2013-02-08;2013-02-18;2013-02-18;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201301;2013-02-08;2013-02-18;2013-02-18;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201301;2013-02-08;2013-02-18;2013-02-18;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201302;2013-03-08;2013-03-18;2013-03-18;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
8;&2;1;T;201303;2013-04-08;2013-04-18;2013-04-18;0.00;;;;;;;;;;;;;;;;;;;;tasa;96.00;523550;96.00
