"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;tasa;tasa
649723/0001-7;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;47.29;;;257;;;;;;;;;;convenio;;;;;;;tasa;158.00
649724/0043-2;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;178.70;;;367;;;;;;;;;;convenio;;;;;;;tasa;64.55
649726/0002-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;553.99;;;;;;;;;;;;;convenio;;;;;;;tasa;200.11
649731/0000-7;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;262.67;;;730;;;;;;;;;;convenio;;;;;;;tasa;94.88
649733/0001-4;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
649733/0002-3;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;0.00;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
649734/0002-2;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;"44 - JUAN DE GARAY";1710;;;;;;;;;;convenio;;;;;;;tasa;20.00
649736/0000-2;02;1;B;201007;2010-08-31;2010-09-10;2010-09-10;73.64;;;;;;;;;;;;;convenio;;;;;;;tasa;26.60
649737/0001-3;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;"44 - JUAN DE GARAY";1710;;;;;;;;;;convenio;;;;;;;tasa;20.00
649737/0002-9;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;"44 - JUAN DE GARAY";1710;;;;;;;;;;convenio;;;;;;;tasa;20.00
649738/0000-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;"31 - FALUCHO";;;;;;;;;;;convenio;;;;;;;tasa;20.00
649740/0002-0;02;1;A;201007;2010-08-31;2010-09-10;2010-09-10;55.37;;;;;;;;;;;;;convenio;;;;;;;tasa;20.00
649743/0001-1;02;1;T;201007;2010-08-31;2010-09-10;2010-09-10;35.17;;;515;;;;;;;;;;convenio;;;;;;;tasa;20.00
