"Numero partida municipal";tributo;numero_de_recibo;estado;periodo;fecha_emision;"Fecha 1er vencimiento";"Fecha 2do vencimiento";"interes resarcitorio";referencia;calle;altura;piso;dpto;localidad;"nro convenio origen";"descripcion convenio origen";"nombre del tipo de convenio origen";"fecha convenio origen";"nro convenio destino";"descripcion convenio destino";"nombre del tipo de convenio destino";"fecha convenio destino";"nro titulo ejecutorio";"fecha titulo ejecutorio";NORANUL;TIPOANUL;FECHANUL;Samco;samco
"147918/0000-5   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;"7 - 25 DE MAYO ";1147;;;;;;;;;;;;;;;;;Samco;1.00
"147918/0000-5   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;"7 - 25 DE MAYO ";1147;;;;;;;;;;;;;;;;;Samco;1.00
"147918/0000-5   ";04;1;A;201111;2011-11-30;2011-12-10;2012-01-09;19.88;;"7 - 25 DE MAYO ";1147;;;;;;;;;;;;;;;;;Samco;1.00
"147919/0000-4   ";04;1;A;201109;2011-09-30;2011-10-10;2011-11-09;21.41;;"7 - 25 DE MAYO ";1135;;;;;;;;;;;;;;;;;Samco;1.00
"147919/0000-4   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;"7 - 25 DE MAYO ";1135;;;;;;;;;;;;;;;;;Samco;1.00
"147919/0000-4   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;"7 - 25 DE MAYO ";1135;;;;;;;;;;;;;;;;;Samco;1.00
"147920/0000-0   ";04;1;A;201109;2011-09-30;2011-10-10;2011-11-09;24.30;;"7 - 25 DE MAYO ";1125;;;;;;;;;;;;;;;;;Samco;1.00
"147920/0000-0   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;"7 - 25 DE MAYO ";1125;;;;;;;;;;;;;;;;;Samco;1.00
"147920/0000-0   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;"7 - 25 DE MAYO ";1125;;;;;;;;;;;;;;;;;Samco;1.00
"147921/0000-9   ";04;1;T;201109;2011-09-30;2011-10-10;2011-11-09;0.00;;"7 - 25 DE MAYO ";1117;;;;;;;;;;;;;;;;;Samco;1.00
"147921/0000-9   ";04;1;T;201110;2011-10-30;2011-11-09;2011-12-09;0.00;;"7 - 25 DE MAYO ";1117;;;;;;;;;;;;;;;;;Samco;1.00
"147921/0000-9   ";04;1;T;201111;2011-11-30;2011-12-10;2012-01-09;0.00;;"7 - 25 DE MAYO ";1117;;;;;;;;;;;;;;;;;Samco;1.00
